epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.2288,2.15597,4.25587,1.26958,0.90809,0.03333,0.04349,0.02288,2.23799,3.7062,1.09932,0.000193118,0.000193118,0.000193118
2,91.054,2.27072,3.25543,1.1414,0.84712,0.06677,0.06146,0.03269,2.30269,2.81531,1.10853,0.000386549,0.000386549,0.000386549
3,143.395,2.29886,2.73511,1.10593,0.5694,0.11293,0.08616,0.04681,2.20211,2.4322,1.08317,0.000577394,0.000577394,0.000577394
4,171.437,2.18616,2.40027,1.07747,0.60105,0.11043,0.0993,0.05226,2.13895,2.23163,1.04629,0.000576358,0.000576358,0.000576358
5,199.032,2.17919,2.24557,1.05981,0.61174,0.11593,0.11957,0.06682,2.0665,2.05805,1.05758,0.000572477,0.000572477,0.000572477
6,243.928,2.13313,2.10428,1.05324,0.5233,0.16075,0.14322,0.07917,2.03282,1.8852,1.03535,0.000568596,0.000568596,0.000568596
7,281.097,2.07858,1.97087,1.03922,0.47878,0.17005,0.16104,0.09137,2.02557,1.81768,1.01997,0.000564715,0.000564715,0.000564715
8,309.437,2.03733,1.89897,1.02595,0.42703,0.22443,0.17895,0.10754,2.03465,1.79625,1.0151,0.000560834,0.000560834,0.000560834
9,339.493,2.01107,1.81647,1.02358,0.57501,0.20389,0.19987,0.12165,1.94579,1.72349,1.01102,0.000556954,0.000556954,0.000556954
10,386.987,2.03413,1.8027,1.02263,0.57504,0.21681,0.20254,0.12018,2.02914,1.71576,1.01543,0.000553073,0.000553073,0.000553073
11,419.299,1.97397,1.73825,1.01522,0.59179,0.22597,0.21785,0.13256,1.94483,1.65801,0.99911,0.000549192,0.000549192,0.000549192
12,457.979,1.97648,1.7207,1.01933,0.57723,0.23841,0.22729,0.1389,1.87772,1.60996,0.99937,0.000545311,0.000545311,0.000545311
13,515.88,1.92931,1.66488,1.0097,0.56583,0.23053,0.22071,0.13557,1.90608,1.67937,1.01189,0.00054143,0.00054143,0.00054143
14,598.383,1.94046,1.65577,1.00804,0.63272,0.224,0.25246,0.15882,1.87546,1.58842,0.98799,0.00053755,0.00053755,0.00053755
15,669.866,1.92943,1.66198,1.00399,0.57181,0.26166,0.24842,0.15527,1.85806,1.61721,0.99393,0.000533669,0.000533669,0.000533669
16,731.719,1.9614,1.63646,1.00838,0.55669,0.28216,0.26545,0.16761,1.83149,1.53727,0.98606,0.000529788,0.000529788,0.000529788
17,761.405,1.87317,1.5802,0.99418,0.47699,0.28386,0.27018,0.16175,1.92261,1.52533,1.00128,0.000525907,0.000525907,0.000525907
18,799.058,1.86654,1.5552,0.99322,0.57448,0.25717,0.27996,0.17297,1.82966,1.47969,0.9817,0.000522026,0.000522026,0.000522026
19,858.545,1.85039,1.5228,0.98272,0.53302,0.25529,0.26803,0.16469,1.80727,1.56071,0.97694,0.000518146,0.000518146,0.000518146
20,903.015,1.83265,1.52242,0.98916,0.44065,0.30613,0.30375,0.19722,1.81599,1.46168,0.97493,0.000514265,0.000514265,0.000514265
21,1007.98,1.8584,1.52124,0.98476,0.5723,0.29257,0.32215,0.20939,1.8106,1.42565,0.97928,0.000510384,0.000510384,0.000510384
22,1055.41,1.8271,1.48867,0.98104,0.51319,0.31388,0.31961,0.20883,1.76304,1.38024,0.97224,0.000506503,0.000506503,0.000506503
23,1087.93,1.80695,1.46839,0.9805,0.54469,0.31477,0.33018,0.21379,1.78792,1.40042,0.97111,0.000502622,0.000502622,0.000502622
24,1115.69,1.82443,1.46997,0.98179,0.61255,0.29933,0.34353,0.2227,1.75913,1.37578,0.96827,0.000498742,0.000498742,0.000498742
25,1182.24,1.79666,1.43005,0.97178,0.61616,0.2885,0.34141,0.21803,1.76323,1.399,0.96739,0.000494861,0.000494861,0.000494861
26,1217.04,1.78161,1.41826,0.9727,0.59305,0.32691,0.35989,0.23334,1.74014,1.40585,0.96113,0.00049098,0.00049098,0.00049098
27,1247.49,1.77332,1.41055,0.97373,0.48306,0.31197,0.35099,0.22485,1.75497,1.37093,0.96819,0.000487099,0.000487099,0.000487099
28,1280.41,1.75624,1.38152,0.96327,0.62108,0.33242,0.36359,0.23367,1.79625,1.38048,0.96849,0.000483218,0.000483218,0.000483218
29,1307.76,1.77784,1.39038,0.96777,0.50515,0.35822,0.37459,0.2429,1.74131,1.36177,0.96405,0.000479338,0.000479338,0.000479338
30,1335.35,1.77738,1.36907,0.97271,0.50062,0.33524,0.3957,0.25981,1.70889,1.34136,0.96108,0.000475457,0.000475457,0.000475457
31,1384.36,1.77421,1.36992,0.96305,0.46619,0.37352,0.39618,0.25858,1.7164,1.28048,0.9583,0.000471576,0.000471576,0.000471576
32,1432.07,1.75753,1.34435,0.96542,0.46725,0.3739,0.39519,0.25971,1.71608,1.34396,0.96011,0.000467695,0.000467695,0.000467695
33,1468,1.72127,1.32099,0.95791,0.49198,0.36497,0.39525,0.23799,1.8542,1.33498,0.98106,0.000463814,0.000463814,0.000463814
34,1499.87,1.73203,1.34092,0.95778,0.65613,0.34401,0.40495,0.26103,1.68473,1.39407,0.95712,0.000459934,0.000459934,0.000459934
35,1523.02,1.73011,1.31902,0.95826,0.47802,0.40258,0.42219,0.28,1.69209,1.255,0.95451,0.000456053,0.000456053,0.000456053
36,1551.84,1.73348,1.31271,0.95788,0.43821,0.38501,0.41376,0.27084,1.69035,1.26084,0.95562,0.000452172,0.000452172,0.000452172
37,1583.22,1.71948,1.30295,0.95082,0.50722,0.39826,0.42583,0.27818,1.69192,1.27225,0.95442,0.000448291,0.000448291,0.000448291
38,1653.39,1.7234,1.28071,0.9588,0.46671,0.41031,0.42871,0.28129,1.70189,1.25811,0.95409,0.00044441,0.00044441,0.00044441
